id,item_id,invoice_id,quantity,unit_price,status,created_at,updated_at
1,1,1,5,13635,packaged,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
2,2,1,9,23324,pending,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
3,3,1,8,34873,packaged,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
4,4,1,3,2196,packaged,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
5,5,1,7,79140,shipped,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
6,6,1,5,52100,packaged,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
7,7,1,4,66747,shipped,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
8,8,1,6,76941,shipped,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
9,9,2,6,29973,pending,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
10,10,2,4,1859,packaged,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
11,11,2,3,30949,shipped,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
12,12,2,8,31099,pending,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
13,13,3,4,78660,shipped,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
14,14,3,7,4264,shipped,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
15,15,3,5,72018,packaged,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
16,16,3,9,72018,shipped,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
17,17,3,5,46383,packaged,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
18,18,3,5,78660,pending,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
19,19,3,8,48718,packaged,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
20,20,3,9,72018,pending,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
21,21,4,5,13635,packaged,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
22,22,4,9,23324,pending,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
23,23,4,8,34873,packaged,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
24,24,4,3,2196,packaged,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
25,25,4,7,79140,shipped,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
26,26,5,5,52100,packaged,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
27,27,6,4,66747,shipped,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
28,28,7,6,76941,shipped,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
29,29,7,6,29973,pending,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
30,30,8,4,1859,packaged,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
31,31,8,3,30949,shipped,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
32,32,8,8,31099,pending,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
33,33,8,4,78660,shipped,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
34,34,9,7,4264,shipped,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
35,35,9,5,72018,packaged,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
36,36,9,9,72018,shipped,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
37,37,10,5,46383,packaged,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
38,38,10,5,78660,pending,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
39,39,10,8,48718,packaged,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
40,40,10,9,72018,pending,2012-03-27 14:54:10 UTC,2012-03-27 14:54:10 UTC
